age	gender	diagnosis	year	nConsultations
0-5	M	Alle diagnoser	2012	365273
0-5	M	Alle diagnoser	2013	348511
0-5	M	Alle diagnoser	2014	357907
0-5	M	Alle diagnoser	2015	344792
0-5	M	Alle diagnoser	2016	346692
0-5	M	Alle diagnoser	2017	342945
0-5	M	Alle diagnoser	2018	332048
0-5	M	Alle diagnoser	2019	332579
0-5	M	Alle diagnoser	2020	283769
0-5	M	Luftveisinfeksjoner, inkl. orebetennelse	2012	143885
0-5	M	Luftveisinfeksjoner, inkl. orebetennelse	2013	127065
0-5	M	Luftveisinfeksjoner, inkl. orebetennelse	2014	129882
0-5	M	Luftveisinfeksjoner, inkl. orebetennelse	2015	121264
0-5	M	Luftveisinfeksjoner, inkl. orebetennelse	2016	123983
0-5	M	Luftveisinfeksjoner, inkl. orebetennelse	2017	118457
0-5	M	Luftveisinfeksjoner, inkl. orebetennelse	2018	112191
0-5	M	Luftveisinfeksjoner, inkl. orebetennelse	2019	110898
0-5	M	Luftveisinfeksjoner, inkl. orebetennelse	2020	64025
0-5	M	Lokale smerter og betennelser	2012	5299
0-5	M	Lokale smerter og betennelser	2013	5364
0-5	M	Lokale smerter og betennelser	2014	5289
0-5	M	Lokale smerter og betennelser	2015	5337
0-5	M	Lokale smerter og betennelser	2016	5598
0-5	M	Lokale smerter og betennelser	2017	5586
0-5	M	Lokale smerter og betennelser	2018	5726
0-5	M	Lokale smerter og betennelser	2019	5667
0-5	M	Lokale smerter og betennelser	2020	5840
0-5	M	Ryggproblemer	2012	167
0-5	M	Ryggproblemer	2013	186
0-5	M	Ryggproblemer	2014	188
0-5	M	Ryggproblemer	2015	180
0-5	M	Ryggproblemer	2016	161
0-5	M	Ryggproblemer	2017	170
0-5	M	Ryggproblemer	2018	159
0-5	M	Ryggproblemer	2019	162
0-5	M	Ryggproblemer	2020	150
0-5	M	Generelle smerter og muskelplager	2012	395
0-5	M	Generelle smerter og muskelplager	2013	345
0-5	M	Generelle smerter og muskelplager	2014	348
0-5	M	Generelle smerter og muskelplager	2015	357
0-5	M	Generelle smerter og muskelplager	2016	349
0-5	M	Generelle smerter og muskelplager	2017	346
0-5	M	Generelle smerter og muskelplager	2018	333
0-5	M	Generelle smerter og muskelplager	2019	308
0-5	M	Generelle smerter og muskelplager	2020	348
0-5	M	Ledd- og giktsykdommer	2012	325
0-5	M	Ledd- og giktsykdommer	2013	303
0-5	M	Ledd- og giktsykdommer	2014	278
0-5	M	Ledd- og giktsykdommer	2015	256
0-5	M	Ledd- og giktsykdommer	2016	289
0-5	M	Ledd- og giktsykdommer	2017	298
0-5	M	Ledd- og giktsykdommer	2018	297
0-5	M	Ledd- og giktsykdommer	2019	250
0-5	M	Ledd- og giktsykdommer	2020	255
0-5	M	Psykisk sykdom eller lidelse	2012	4234
0-5	M	Psykisk sykdom eller lidelse	2013	4303
0-5	M	Psykisk sykdom eller lidelse	2014	4673
0-5	M	Psykisk sykdom eller lidelse	2015	4821
0-5	M	Psykisk sykdom eller lidelse	2016	5055
0-5	M	Psykisk sykdom eller lidelse	2017	5112
0-5	M	Psykisk sykdom eller lidelse	2018	5226
0-5	M	Psykisk sykdom eller lidelse	2019	5664
0-5	M	Psykisk sykdom eller lidelse	2020	6870
0-5	M	Atopi, astma, allergi eller eksem	2012	33457
0-5	M	Atopi, astma, allergi eller eksem	2013	33606
0-5	M	Atopi, astma, allergi eller eksem	2014	34887
0-5	M	Atopi, astma, allergi eller eksem	2015	34387
0-5	M	Atopi, astma, allergi eller eksem	2016	35743
0-5	M	Atopi, astma, allergi eller eksem	2017	37793
0-5	M	Atopi, astma, allergi eller eksem	2018	37238
0-5	M	Atopi, astma, allergi eller eksem	2019	37873
0-5	M	Atopi, astma, allergi eller eksem	2020	38262
0-5	M	Hoyt blodtrykk	2012	6
0-5	M	Hoyt blodtrykk	2013	10
0-5	M	Hoyt blodtrykk	2014	14
0-5	M	Hoyt blodtrykk	2015	11
0-5	M	Hoyt blodtrykk	2016	15
0-5	M	Hoyt blodtrykk	2017	4
0-5	M	Hoyt blodtrykk	2018	4
0-5	M	Hoyt blodtrykk	2019	4
0-5	M	Hoyt blodtrykk	2020	14
0-5	M	Hjertesykdom	2012	441
0-5	M	Hjertesykdom	2013	406
0-5	M	Hjertesykdom	2014	469
0-5	M	Hjertesykdom	2015	440
0-5	M	Hjertesykdom	2016	392
0-5	M	Hjertesykdom	2017	377
0-5	M	Hjertesykdom	2018	375
