statistikkvariabel	age	gender	diagnosis	year	nConsultations
Konsultasjoner	Alle aldre	Kvinner	Alle diagnoser	2012	7885347
Konsultasjoner	Alle aldre	Kvinner	Alle diagnoser	2013	7905090
Konsultasjoner	Alle aldre	Kvinner	Alle diagnoser	2014	8059651
Konsultasjoner	Alle aldre	Kvinner	Alle diagnoser	2015	8119455
Konsultasjoner	Alle aldre	Kvinner	Alle diagnoser	2016	8231063
Konsultasjoner	Alle aldre	Kvinner	Alle diagnoser	2017	8394820
Konsultasjoner	Alle aldre	Kvinner	Alle diagnoser	2018	8444395
Konsultasjoner	Alle aldre	Kvinner	Alle diagnoser	2019	8625594
Konsultasjoner	Alle aldre	Kvinner	Alle diagnoser	2020	9145027
Konsultasjoner	Alle aldre	Kvinner	Alle diagnoser	2021	9763976
Konsultasjoner	Alle aldre	Kvinner	Alle diagnoser	2022	9909893
Konsultasjoner	Alle aldre	Kvinner	Alle diagnoser	2023	9995819
Konsultasjoner	Alle aldre	Kvinner	Alle diagnoser	2024	10057759
Konsultasjoner	Alle aldre	Kvinner	Luftveisinfeksjoner, inkl. oerebetennelse	2012	793366
Konsultasjoner	Alle aldre	Kvinner	Luftveisinfeksjoner, inkl. oerebetennelse	2013	722300
Konsultasjoner	Alle aldre	Kvinner	Luftveisinfeksjoner, inkl. oerebetennelse	2014	684044
Konsultasjoner	Alle aldre	Kvinner	Luftveisinfeksjoner, inkl. oerebetennelse	2015	718042
Konsultasjoner	Alle aldre	Kvinner	Luftveisinfeksjoner, inkl. oerebetennelse	2016	739997
Konsultasjoner	Alle aldre	Kvinner	Luftveisinfeksjoner, inkl. oerebetennelse	2017	757479
Konsultasjoner	Alle aldre	Kvinner	Luftveisinfeksjoner, inkl. oerebetennelse	2018	750875
Konsultasjoner	Alle aldre	Kvinner	Luftveisinfeksjoner, inkl. oerebetennelse	2019	752370
Konsultasjoner	Alle aldre	Kvinner	Luftveisinfeksjoner, inkl. oerebetennelse	2020	515167
Konsultasjoner	Alle aldre	Kvinner	Luftveisinfeksjoner, inkl. oerebetennelse	2021	523281
Konsultasjoner	Alle aldre	Kvinner	Luftveisinfeksjoner, inkl. oerebetennelse	2022	738871
Konsultasjoner	Alle aldre	Kvinner	Luftveisinfeksjoner, inkl. oerebetennelse	2023	829670
Konsultasjoner	Alle aldre	Kvinner	Luftveisinfeksjoner, inkl. oerebetennelse	2024	883540
Konsultasjoner	Alle aldre	Kvinner	Lokale smerter og betennelser	2012	617493
Konsultasjoner	Alle aldre	Kvinner	Lokale smerter og betennelser	2013	633384
Konsultasjoner	Alle aldre	Kvinner	Lokale smerter og betennelser	2014	651353
Konsultasjoner	Alle aldre	Kvinner	Lokale smerter og betennelser	2015	657998
Konsultasjoner	Alle aldre	Kvinner	Lokale smerter og betennelser	2016	660603
Konsultasjoner	Alle aldre	Kvinner	Lokale smerter og betennelser	2017	671874
Konsultasjoner	Alle aldre	Kvinner	Lokale smerter og betennelser	2018	654050
Konsultasjoner	Alle aldre	Kvinner	Lokale smerter og betennelser	2019	667483
